aspect,opinion,count
review,full,31
comedy,romantic,12
film,first,9
film,best,9
time,first,9
films,best,9
effects,special,7
school,high,7
story,true,7
movie,good,7
movies,best,6
time,good,6
screen,big,6
right,own,5
life,real,5
film,great,5
part,most,5
school,old,4
movie,great,4
comedy,dark,4
action,live,4
experience,visceral,4
debut,impressive,4
year,last,4
bone,funny,4
lot,whole,4
act,final,4
movies,other,3
performances,great,3
tale,charming,3
performances,best,3
performances,exceptional,3
order,highest,3
budget,low,3
ground,new,3
fun,good,3
concept,high,3
time,same,3
comedy,funny,3
way,own,3
film,good,3
thing,bad,3
film,whole,3
comedy,smart,3
bit,little,3
women,young,3
language,foreign,3
cast,strong,3
numbers,musical,3
book,comic,3
things,many,3
film,terrific,3
movie,first,3
ways,many,3
classic,new,3
nature,human,3
family,whole,3
film,extraordinary,3
job,excellent,3
time,sweet,3
century,21st,3
story,familiar,3
film,original,3
movie,best,3
work,best,3
pleasure,guilty,3
good,own,3
dilemma,moral,3
guys,bad,3
spirit,human,3
story,classic,3
drama,psychological,2
movie,solid,2
answers,easy,2
films,big,2
territory,familiar,2
script,sharp,2
commentary,social,2
night,late,2
family,entire,2
fun,much,2
films,other,2
films,many,2
time,last,2
moments,best,2
hour,half,2
scenes,dramatic,2
flick,fun,2
film,third,2
thriller,stylish,2
flick,little,2
look,nuanced,2
performances,amazing,2
thing,important,2
cast,terrific,2
actress,accomplished,2
charm,easy,2
humor,dark,2
homage,perfect,2
comedy,typical,2
movies,sappy,2
day,present,2
thriller,satisfying,2
performances,good,2
movie,full,2
film,new,2
memory,recent,2
entertainment,pure,2
level,same,2
relationship,romantic,2
way,long,2
deal,great,2
performances,solid,2
impression,lasting,2
scale,human,2
performances,strong,2
experience,cathartic,2
film,rare,2
character,central,2
way,unique,2
agriculture,modern,2
process,creative,2
half,first,2
century,20th,2
media,social,2
men,young,2
thing,whole,2
depth,emotional,2
adaptation,worthy,2
portrait,vivid,2
romp,enough,2
job,good,2
men,earnest,2
stars,young,2
performance,fearless,2
story,good,2
comedy,straightforward,2
film,longest,2
film,remarkable,2
comedy,sweet,2
film,beautiful,2
world,real,2
thriller,tense,2
