aspect,opinion,count
review,full,86
],spanish,85
effects,special,17
comedy,romantic,17
york,new,15
film,first,13
screen,big,11
story,true,10
time,good,10
films,best,9
book,comic,8
movie,good,8
equivalent,cinematic,7
school,high,7
intentions,good,7
right,own,6
good,own,6
movie,bad,6
matter,subject,6
part,most,6
time,first,6
work,best,6
film,best,6
thing,only,5
story,coming-of-age,5
comedy,dark,5
hanks,tom,5
film,great,5
times,many,5
burton,tim,5
life,real,5
movie,great,5
bit,little,5
numbers,musical,5
character,main,5
year,last,5
cast,ensemble,5
world,real,5
story,familiar,5
story,good,5
reason,real,5
ground,new,4
memory,recent,4
act,final,4
sex,teen,4
premise,interesting,4
movie,first,4
film,new,4
thriller,psychological,4
language,foreign,4
performance,compelling,4
tale,cautionary,4
film,little,4
things,many,4
ways,many,4
movie,scary,4
hitchcock,alfred,4
nature,human,4
film,good,4
place,right,4
film,bad,4
plot,predictable,4
fun,much,4
lot,whole,4
movie,better,4
time,running,4
debut,directorial,4
fun,more,4
bone,funny,4
content,full,4
way,best,4
experience,visceral,4
jedi,last,4
shades,fifty,4
time,same,3
thing,whole,3
century,21st,3
santa,bad,3
order,highest,3
movies,few,3
feature,animated,3
films,few,3
while,long,3
soderbergh,steven,3
witherspoon,reese,3
dream,american,3
motion,slow,3
women,young,3
thing,worst,3
jackman,hugh,3
style,visual,3
movie,stupid,3
humor,good,3
drama,romantic,3
fun,good,3
course,main,3
footage,archival,3
boyle,danny,3
character,interesting,3
character,central,3
half,first,3
f,[,3
performances,solid,3
wood,ed,3
job,excellent,3
time,sweet,3
problem,serious,3
scale,human,3
bond,best,3
relief,comic,3
effects,visual,3
film,whole,3
plot,many,3
age,ice,3
film,entire,3
player,ready,3
place,first,3
plot,implausible,3
lynch,david,3
time,next,3
dilemma,moral,3
movie,sci-fi,3
cruise,tom,3
deal,great,3
laughs,few,3
family,whole,3
performances,strong,3
performances,exceptional,3
comedy,gross-out,3
character,female,3
illness,mental,3
characters,many,3
time,much,3
movies,other,3
pleasure,guilty,3
event,historical,3
enterprise,whole,3
drama,domestic,3
melodrama,conventional,3
streets,mean,3
act,second,3
man,leading,3
film,extraordinary,3
act,third,3
energy,much,3
comedy,black,3
guy,bad,3
satire,social,3
guys,bad,3
spirit,human,3
suspense,little,3
story,classic,3
moments,best,2
studios,universal,2
story,straight,2
comedy,physical,2
promise,early,2
thing,same,2
thing,best,2
gump,forrest,2
sense,sixth,2
act,first,2
process,creative,2
sequel,tired,2
way,unique,2
actors,comic,2
reason,other,2
flick,little,2
satire,unfunny,2
people,beautiful,2
characters,major,2
lot,awful,2
giggles,few,2
doses,small,2
max,mad,2
way,only,2
piece,enjoyable,2
performances,best,2
payoffs,emotional,2
video,[,2
people,funny,2
story,fact-based,2
roth,eli,2
minister,prime,2
cast,terrific,2
joan,red,2
body,dead,2
orleans,new,2
average,above,2
level,same,2
poseurs,urbanite,2
movies,popcorn,2
touching,few,2
comedy,unappealing,2
review,parental,2
depth,more,2
affection,great,2
stars,big,2
thriller,suspenseful,2
film,better,2
school,old,2
way,long,2
character,fascinating,2
characters,real,2
impression,lasting,2
thing,bad,2
guy,good,2
stars,young,2
bodies,warm,2
face,human,2
years,final,2
story,remarkable,2
cast,good,2
movie,worst,2
powers,austin,2
waste,complete,2
poehler,amy,2
complexity,moral,2
drama,psychological,2
heft,emotional,2
state,current,2
tale,classic,2
performance,fearless,2
grass,tall,2
movie,entire,2
gordon,david,2
story,underdog,2
comedy,time-travel,2
phillips,todd,2
point,high,2
movie,dumb,2
plot,actual,2
horror,many,2
ideas,original,2
things,good,2
airbender,last,2
y,[,2
house,last,2
love,first,2
cranston,bryan,2
network,social,2
movie,own,2
hour,first,2
ones,little,2
ones,wee,2
fantasy,bad,2
christmas,sappy,2
connery,sean,2
cast,entire,2
years,many,2
laughs,cheap,2
idea,bad,2
merits,own,2
movie,interesting,2
cast,strong,2
characters,rich,2
scenes,funny,2
thing,good,2
moss,elisabeth,2
people,many,2
film,forgettable,2
novel,american,2
men,young,2
scenes,dramatic,2
class,middle,2
action,live,2
humor,dark,2
quality,high,2
scenes,few,2
performance,terrific,2
sequel,unnecessary,2
process,electoral,2
scares,few,2
films,little,2
horror,classic,2
children,young,2
girl,young,2
time,hard,2
job,good,2
audiences,contemporary,2
theme,familiar,2
lines,punch,2
time,last,2
aspects,political,2
reynolds,ryan,2
investment,emotional,2
character,great,2
drama,human,2
condition,human,2
friend,old,2
manipulation,emotional,2
son,american,2
answers,easy,2
two-thirds,first,2
movie,animated,2
era,new,2
movie,fight,2
disorder,bipolar,2
line,long,2
sentiment,saccharine,2
thriller,political,2
reality,physical,2
balance,right,2
killer,serial,2
adventure,animated,2
thing,real,2
experience,emotional,2
task,easy,2
relationship,romantic,2
movie,fame,2
time,third,2
filmmaker,first-time,2
commentary,social,2
script,bad,2
script,old,2
determination,quiet,2
movie,funny,2
mirren,helen,2
ducts,tear,2
impact,lasting,2
characters,main,2
performances,amazing,2
romp,enough,2
figure,central,2
thrills,visceral,2
potential,much,2
knight,last,2
guess,i,2
people,other,2
news,bad,2
couple,odd,2
comedy,bad,2
movie,lego,2
performances,great,2
recommendation,mild,2
way,same,2
money,good,2
film,remarkable,2
film,excellent,2
relief,small,2
performances,fine,2
