aspect,opinion,count
review,full,24
effects,special,11
screen,big,9
film,first,7
intentions,good,6
time,first,6
reason,real,5
character,main,5
equivalent,cinematic,5
movie,bad,5
film,bad,5
times,many,4
thing,only,4
scares,few,4
person,first,4
work,best,4
movie,good,4
scenes,few,4
place,right,4
characters,many,4
hour,half,4
laughs,few,4
life,real,4
comedy,romantic,4
time,good,4
movie,better,4
tale,cautionary,4
budget,low,3
film,entire,3
drama,romantic,3
twists,clever,3
book,comic,3
way,best,3
joke,single,3
thriller,psychological,3
act,first,3
school,high,3
films,other,3
story,good,3
act,third,3
rent,low,3
style,visual,3
matter,subject,3
movie,own,3
key,low,3
movie,stupid,3
hour,first,3
attempts,many,3
sense,much,3
premise,interesting,3
movies,worst,3
laughs,unintentional,3
movie,first,3
movie,worst,3
fun,more,3
good,own,3
suspense,little,3
movie,structured,2
people,talented,2
line,long,2
guy,good,2
comedy,physical,2
time,much,2
minutes,first,2
characters,real,2
performances,solid,2
killer,serial,2
film,stupid,2
bit,little,2
slog,dreary,2
adult,young,2
potential,much,2
appeal,main,2
comedy,bad,2
film,less,2
depth,more,2
hint,tiny,2
film,new,2
motion,slow,2
rise,high,2
drama,full,2
plot,actual,2
thing,same,2
ups,close,2
thing,worst,2
day,latter,2
course,main,2
memory,recent,2
time,third,2
films,first,2
satire,social,2
action,live,2
night,late,2
thriller,empty,2
charm,much,2
version,new,2
budget,big,2
things,many,2
place,first,2
thriller,rote,2
characters,main,2
decisions,bad,2
fun,much,2
movie,dumb,2
moments,few,2
promise,early,2
years,last,2
thriller,political,2
holes,many,2
things,good,2
rate,second,2
idea,bad,2
characters,boring,2
stars,big,2
issues,unresolved,2
moments,several,2
children,young,2
time,long,2
pleasures,small,2
script,bad,2
cast,good,2
aspects,political,2
people,beautiful,2
twists,many,2
news,bad,2
sequel,tired,2
past,present,2
affection,great,2
plot,predictable,2
waste,complete,2
rights,civil,2
movie,actual,2
concept,high,2
ideas,original,2
doses,small,2
comedy,broad,2
effects,visual,2
film,silly,2
giggles,few,2
adventure,new,2
comedy,dark,2
films,few,2
people,good,2
ones,wee,2
thing,real,2
laughs,cheap,2
story,real,2
act,second,2
movies,good,2
movie,great,2
film,good,2
film,little,2
movies,few,2
investment,emotional,2
glasses,3d,2
right,own,2
movie,dull,2
condition,human,2
movies,other,2
attempt,misguided,2
story,true,2
relief,comic,2
day,modern,2
minutes,few,2
chuckles,few,2
film,heavy,2
effects,shoddy,2
melodrama,conventional,2
herrings,red,2
melodrama,sappy,2
actors,wonderful,2
time,next,2
movie,generic,2
idea,great,2
efforts,best,2
film,complex,2
pleasure,guilty,2
movies,many,2
story,simple,2
moments,funny,2
reason,other,2
debut,directorial,2
treatment,superficial,2
class,middle,2
people,many,2
movies,bad,2
comedy,black,2
movies,worse,2
character,female,2
story,familiar,2
numbers,musical,2
sell,hard,2
illness,mental,1
script,original,1
thrills,palpable,1
comedies,late,1
humor,physical,1
filmmaker,better,1
wizard,actual,1
situation,perilous,1
outcome,happy,1
outcome,free,1
while,long,1
flagellation,cinematic,1
profundity,expected,1
talk,much,1
sensation,enough,1
bedfellows,unlikely,1
reign,mid,1
rhetoric,anti,1
rhetoric,-,1
rhetoric,gay,1
policies,union,1
